Sample_ID,BAM_Files
HG00268,ERR13603555.sorted.bam
HG00268,ERR13603692.sorted.bam
HG02106,ERR13603524.sorted.bam
HG02106,ERR13603669.sorted.bam
HG02282,ERR13603553.sorted.bam
HG02282,ERR13603618.sorted.bam
HG02282,ERR13603652.sorted.bam
HG03456,ERR13603509.sorted.bam
HG03456,ERR13603551.sorted.bam
HG03456,ERR13603668.sorted.bam
HG03456,ERR13603677.sorted.bam
HG03520,ERR13603630.sorted.bam
HG03520,ERR13603646.sorted.bam
HG03807,ERR13603529.sorted.bam
HG03807,ERR13603633.sorted.bam
HG04217,ERR13603561.sorted.bam
HG04217,ERR13603570.sorted.bam
NA19434,ERR13603673.sorted.bam
NA19434,ERR13603685.sorted.bam
NA19836,ERR13603687.sorted.bam
NA19836,ERR13603700.sorted.bam
HG00358,ERR13603594.sorted.bam
HG00358,ERR13603549.sorted.bam
HG00358,ERR13603662.sorted.bam
HG01890,ERR13603522.sorted.bam
HG01890,ERR13603567.sorted.bam
HG01890,ERR13603656.sorted.bam
NA19705,ERR13603601.sorted.bam
NA19705,ERR13603663.sorted.bam
NA19705,ERR13603681.sorted.bam
NA19129,ERR13491958.sorted.bam
NA19129,ERR13491959.sorted.bam
NA19129,ERR13491960.sorted.bam
NA19129,ERR13491961.sorted.bam
NA19129,ERR13491962.sorted.bam
NA19129,ERR13491963.sorted.bam
NA19129,ERR13491964.sorted.bam
HG01352,ERR13491793.sorted.bam
HG01352,ERR13491794.sorted.bam
HG01352,ERR13491795.sorted.bam
HG01352,ERR13491796.sorted.bam
HG01352,ERR13491797.sorted.bam
HG01352,ERR13491798.sorted.bam
HG01352,ERR13491799.sorted.bam
HG01352,ERR13491800.sorted.bam
HG01352,ERR13491801.sorted.bam
HG01352,ERR13491802.sorted.bam
HG01352,ERR13491803.sorted.bam
HG01352,ERR13491804.sorted.bam
HG02059,ERR13491830.sorted.bam
HG02059,ERR13491831.sorted.bam
HG02059,ERR13491832.sorted.bam
HG02059,ERR13491833.sorted.bam
HG02059,ERR13491834.sorted.bam
HG02059,ERR13491835.sorted.bam
HG02059,ERR13491836.sorted.bam
HG02059,ERR13491837.sorted.bam
HG02059,ERR13491838.sorted.bam
HG02059,ERR13491839.sorted.bam
HG02059,ERR13491840.sorted.bam
HG02059,ERR13491841.sorted.bam
HG02769,ERR13491868.sorted.bam
HG02769,ERR13491869.sorted.bam
HG02769,ERR13491870.sorted.bam
HG02769,ERR13491871.sorted.bam
HG02769,ERR13491872.sorted.bam
HG02769,ERR13491873.sorted.bam
HG02769,ERR13491874.sorted.bam
HG02769,ERR13491875.sorted.bam
HG02769,ERR13491876.sorted.bam
HG02769,ERR13491877.sorted.bam
HG02769,ERR13491878.sorted.bam
HG02769,ERR13491879.sorted.bam
HG02769,ERR13491880.sorted.bam
HG02769,ERR13491881.sorted.bam
HG02769,ERR13491882.sorted.bam
HG02769,ERR13491883.sorted.bam
HG02769,ERR13491884.sorted.bam
HG02769,ERR13491885.sorted.bam
HG02769,ERR13491886.sorted.bam
HG02769,ERR13491887.sorted.bam
HG02769,ERR13491888.sorted.bam
HG02769,ERR13491889.sorted.bam
HG02769,ERR13491890.sorted.bam
HG02769,ERR13491891.sorted.bam
HG02769,ERR13491892.sorted.bam
HG03452,ERR13491910.sorted.bam
HG03452,ERR13491911.sorted.bam
HG03452,ERR13491912.sorted.bam
HG03452,ERR13491913.sorted.bam
HG03452,ERR13491914.sorted.bam
HG03452,ERR13491915.sorted.bam
HG03452,ERR13491916.sorted.bam
HG03452,ERR13491917.sorted.bam
HG03452,ERR13491918.sorted.bam
HG03452,ERR13491919.sorted.bam
HG04036,ERR13491931.sorted.bam
HG04036,ERR13491932.sorted.bam
HG04036,ERR13491933.sorted.bam
HG04036,ERR13491934.sorted.bam
HG04036,ERR13491935.sorted.bam
HG04036,ERR13491936.sorted.bam
HG04036,ERR13491937.sorted.bam
HG02818,ERR13491893.sorted.bam
HG02818,ERR13491894.sorted.bam
HG02818,ERR13491895.sorted.bam
HG02818,ERR13491896.sorted.bam
HG02818,ERR13491897.sorted.bam
HG02818,ERR13491898.sorted.bam
NA20355,ERR13491985.sorted.bam
NA20355,ERR13491986.sorted.bam
NA20355,ERR13491987.sorted.bam
NA20355,ERR13491988.sorted.bam
NA20355,ERR13491989.sorted.bam
NA20355,ERR13491990.sorted.bam
NA20355,ERR13491991.sorted.bam
NA20355,ERR13491992.sorted.bam
NA20355,ERR13491993.sorted.bam
NA20355,ERR13491994.sorted.bam
NA20355,ERR13491995.sorted.bam
NA20355,ERR13491996.sorted.bam
NA20355,ERR13491997.sorted.bam
NA20355,ERR13491998.sorted.bam
NA20355,ERR13491999.sorted.bam
NA20355,ERR13492000.sorted.bam
NA20355,ERR13492001.sorted.bam
NA20355,ERR13492002.sorted.bam
NA20355,ERR13492003.sorted.bam
NA20355,ERR13492004.sorted.bam
NA20355,ERR13492005.sorted.bam
NA20355,ERR13492006.sorted.bam
NA20355,ERR13492007.sorted.bam
NA20355,ERR13492008.sorted.bam
NA20355,ERR13492009.sorted.bam
NA21487,ERR13492018.sorted.bam
NA21487,ERR13492019.sorted.bam
NA21487,ERR13492020.sorted.bam
NA21487,ERR13492021.sorted.bam
NA21487,ERR13492022.sorted.bam
NA21487,ERR13492023.sorted.bam
NA21487,ERR13492024.sorted.bam
NA21487,ERR13492025.sorted.bam
NA21487,ERR13492026.sorted.bam
NA21487,ERR13492027.sorted.bam
NA21487,ERR13492028.sorted.bam
NA21487,ERR13492029.sorted.bam
NA21487,ERR13492030.sorted.bam
NA21487,ERR13492031.sorted.bam
